letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1758-12-19_991170516722505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1756-12-28_991170516848105501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1752-04-30_991170516849805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1755-07-22_991170516848505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1750-06-30_991170516850405501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1758-08-11_991170516722705501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-07-20_991170516722305501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1760-12-21_991170516721605501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-06-02_991170516722405501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1758-05-06_991170516722805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1751-04-17_991170516850205501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-10-09_991170516722005501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-02-20_991170516849405501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-10-21_991170516849205501.xml,JB,kollationiert,1,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-10-21_991170516849205501.xml,SW,kollationiert,1,0,0,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-10-21_991170516849205501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1761-02-21_991170516721505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1774-10-01_991170516720705501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1752-08-22_991170516849705501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1755-03-18_991170516848605501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1763-05-24_991170516721105501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1760-01-29_991170516721905501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1749-07-17_991170516850605501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1755-10-28_991170516848405501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1761-09-08_991170516721405501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1764-06-18_991170516721005501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-04-05_991170516723205501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-05-15_991170516849305501.xml,JB,kollationiert,1,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-05-15_991170516849305501.xml,SW,kollationiert,1,0,0,0
